time:	speed_l:	speed_r:
0	0.00	0.00
0	0.00	0.00
0	0.30	0.30
1	0.30	0.30
2	0.30	0.30
3	0.30	0.30
4	0.30	0.30
5	0.30	0.30
6	0.30	0.30
7	0.30	0.30
8	0.30	0.30
9	0.30	0.30
10	0.30	0.30
11	0.30	0.30
12	0.30	0.30
13	0.30	0.30
14	0.30	0.30
15	0.30	0.30
16	0.30	0.30
17	0.30	0.30
18	0.30	0.30
19	0.30	0.30
20	0.30	0.30
21	0.30	0.30
22	0.30	0.30
23	0.30	0.30
24	0.30	0.30
25	0.30	0.30
26	0.30	0.30
27	0.30	0.30
28	0.30	0.30
29	0.30	0.30
30	0.30	0.30
31	0.30	0.30
32	0.30	0.30
33	0.30	0.30
34	0.30	0.30
35	0.30	0.30
36	0.30	0.30
37	0.30	0.30
38	0.30	0.30
39	0.30	0.30
40	0.30	0.30
41	0.30	0.30
42	0.30	0.30
43	0.30	0.30
44	0.30	0.30
45	0.30	0.30
46	0.30	0.30
47	0.30	0.30
48	0.30	0.30
49	0.30	0.30
50	0.30	0.30
51	0.30	0.30
52	0.30	0.30
53	0.30	0.30
54	0.30	0.30
55	0.30	0.30
56	0.30	0.30
57	0.30	0.30
58	0.30	0.30
59	0.30	0.30
60	0.30	0.30
61	0.30	0.30
62	0.30	0.30
63	0.30	0.30
64	0.30	0.30
65	0.30	0.30
66	0.30	0.30
67	0.30	0.30
68	0.30	0.30
69	0.30	0.30
70	0.30	0.30
71	0.30	0.30
72	0.30	0.30
73	0.30	0.30
74	0.30	0.30
75	0.30	0.30
76	0.30	0.30
77	0.30	0.30
78	0.30	0.30
79	0.30	0.30
80	0.30	0.30
81	0.30	0.30
82	0.30	0.30
83	0.30	0.30
84	0.30	0.30
85	0.30	0.30
86	0.30	0.30
87	0.30	0.30
88	0.30	0.30
89	0.30	0.30
90	0.30	0.30
91	0.30	0.30
92	0.30	0.30
93	0.30	0.30
94	0.30	0.30
95	0.30	0.30
96	0.30	0.30
97	0.30	0.30
98	0.30	0.30
99	0.30	0.30
100	0.30	0.30
101	0.30	0.30
102	0.30	0.30
103	0.30	0.30
104	0.30	0.30
105	0.30	0.30
106	0.30	0.30
107	0.30	0.30
108	0.30	0.30
109	0.30	0.30
110	0.30	0.30
111	0.30	0.30
112	0.30	0.30
113	0.30	0.30
114	0.30	0.30
115	0.30	0.30
116	0.30	0.30
117	0.30	0.30
118	0.30	0.30
119	0.30	0.30
120	0.30	0.30
121	0.30	0.30
122	0.30	0.30
123	0.30	0.30
124	0.30	0.30
125	0.30	0.30
126	0.30	0.30
127	0.30	0.30
128	0.30	0.30
129	0.30	0.30
130	0.30	0.30
131	0.30	0.30
132	0.30	0.30
133	0.30	0.30
134	0.30	0.30
135	0.30	0.30
136	0.30	0.30
137	0.30	0.30
138	0.30	0.30
139	0.30	0.30
140	0.30	0.30
141	0.30	0.30
142	0.30	0.30
143	0.30	0.30
144	0.30	0.30
145	0.30	0.30
146	0.30	0.30
147	0.30	0.30
148	0.30	0.30
149	0.30	0.30
150	0.30	0.30
151	0.30	0.30
152	0.30	0.30
153	0.30	0.30
154	0.30	0.30
155	0.30	0.30
156	0.30	0.30
157	0.30	0.30
158	0.30	0.30
159	0.30	0.30
160	0.30	0.30
161	0.30	0.30
162	0.30	0.30
163	0.30	0.30
164	0.30	0.30
165	0.30	0.30
166	0.30	0.30
167	0.30	0.30
168	0.30	0.30
169	0.30	0.30
170	0.30	0.30
171	0.30	0.30
172	0.30	0.30
173	0.30	0.30
174	0.30	0.30
175	0.30	0.30
176	0.30	0.30
177	0.30	0.30
178	0.30	0.30
179	0.30	0.30
180	0.30	0.30
181	0.30	0.30
182	0.30	0.30
183	0.30	0.30
184	0.30	0.30
185	0.30	0.30
186	0.30	0.30
187	0.30	0.30
188	0.30	0.30
189	0.30	0.30
190	0.30	0.30
191	0.30	0.30
192	0.30	0.30
193	0.30	0.30
194	0.30	0.30
195	0.30	0.30
196	0.30	0.30
197	0.30	0.30
198	0.30	0.30
199	0.30	0.30
200	0.30	0.30
201	0.30	0.30
202	0.30	0.30
203	0.30	0.30
204	0.30	0.30
205	0.30	0.30
206	0.30	0.30
207	0.30	0.30
208	0.30	0.30
209	0.30	0.30
210	0.30	0.30
211	0.30	0.30
212	0.30	0.30
213	0.30	0.30
214	0.30	0.30
215	0.30	0.30
216	0.30	0.30
217	0.30	0.30
218	0.30	0.30
219	0.30	0.30
220	0.30	0.30
221	0.30	0.30
222	0.30	0.30
223	0.30	0.30
224	0.30	0.30
225	0.30	0.30
226	0.30	0.30
227	0.30	0.30
228	0.30	0.30
229	0.30	0.30
230	0.30	0.30
231	0.30	0.30
232	0.30	0.30
233	0.30	0.30
234	0.30	0.30
235	0.30	0.30
236	0.30	0.30
237	0.30	0.30
238	0.30	0.30
239	0.30	0.30
240	0.30	0.30
241	0.30	0.30
242	0.30	0.30
243	0.30	0.30
244	0.30	0.30
245	0.30	0.30
246	0.30	0.30
247	0.30	0.30
248	0.30	0.30
249	0.30	0.30
250	0.30	0.30
251	0.30	0.30
252	0.30	0.30
253	0.30	0.30
254	0.30	0.30
255	0.30	0.30
256	0.30	0.30
257	0.30	0.30
258	0.30	0.30
259	0.30	0.30
260	0.30	0.30
261	0.30	0.30
262	0.30	0.30
263	0.30	0.30
264	0.30	0.30
265	0.30	0.30
266	0.30	0.30
267	0.30	0.30
268	0.30	0.30
269	0.30	0.30
270	0.30	0.30
271	0.30	0.30
272	0.30	0.30
273	0.30	0.30
274	0.30	0.30
275	0.30	0.30
276	0.30	0.30
277	0.30	0.30
278	0.30	0.30
279	0.30	0.30
280	0.30	0.30
281	0.30	0.30
282	0.30	0.30
283	0.30	0.30
284	0.30	0.30
285	0.30	0.30
286	0.30	0.30
287	0.30	0.30
288	0.30	0.30
289	0.30	0.30
290	0.30	0.30
291	0.30	0.30
292	0.30	0.30
293	0.30	0.30
294	0.30	0.30
295	0.30	0.30
296	0.30	0.30
297	0.30	0.30
298	0.30	0.30
299	0.30	0.30
300	0.30	0.30
301	0.30	0.30
302	0.30	0.30
303	0.30	0.30
304	0.30	0.30
305	0.30	0.30
306	0.30	0.30
307	0.30	0.30
308	0.30	0.30
309	0.30	0.30
310	0.30	0.30
311	0.30	0.30
312	0.30	0.30
313	0.30	0.30
314	0.30	0.30
315	0.30	0.30
316	0.30	0.30
317	0.30	0.30
318	0.30	0.30
319	0.30	0.30
320	0.30	0.30
321	0.30	0.30
322	0.30	0.30
323	0.30	0.30
324	0.30	0.30
325	0.30	0.30
326	0.30	0.30
327	0.30	0.30
328	0.30	0.30
329	0.30	0.30
330	0.30	0.30
331	0.30	0.30
332	0.30	0.30
333	0.30	0.30
334	0.30	0.30
335	0.30	0.30
336	0.30	0.30
337	0.30	0.30
338	0.00	0.00
339	0.00	0.00
0	-0.30	0.30
1	-0.30	0.30
2	-0.30	0.30
3	-0.30	0.30
4	-0.30	0.30
5	-0.30	0.30
6	-0.30	0.30
7	-0.30	0.30
8	-0.30	0.30
9	-0.30	0.30
10	-0.30	0.30
11	-0.30	0.30
12	-0.30	0.30
13	-0.30	0.30
14	-0.30	0.30
15	-0.30	0.30
16	-0.30	0.30
17	-0.30	0.30
